label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b,note
s,0.89,merge,Nordico Sommerfest,Nordico Sommerfest,2026-07-09T19:00:00+02:00,2026-07-09T19:00:00+02:00,Nordico Stadtmuseum Linz,Nordico-Vorplatz,linztermine.at (open data XML),Nordico Stadtmuseum,nordico sommerfest|2026-07-09|,nordico sommerfest|2026-07-09|9661:1901,"venue vs its Vorplatz, same time (product call)"
s,0.89,merge,Das Spiel ist aus,Das Spiel ist aus,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,Musiktheater,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-03|,spiel ist aus|2026-07-03|9660:1900,"hall vs building naming, same time (product call)"
s,0.89,merge,Das Spiel ist aus,Das Spiel ist aus,2026-07-06T20:00:00+02:00,2026-07-06T20:00:00+02:00,Musiktheater,BlackBox Musiktheater,linztermine.at (open data XML),Landestheater Linz,spiel ist aus|2026-07-06|,spiel ist aus|2026-07-06|9660:1900,"hall vs building naming, same time (product call)"
s,0.89,merge,Rodericks Geschichtenkiste,Rodericks Geschichtenkiste,2026-07-08T16:30:00+02:00,2026-07-08T16:30:00+02:00,Stadtbibliothek Dornach-Auhof,Stadtbibliothek Dornach/Auhof,linztermine.at (open data XML),Stadtbibliothek Linz,rodericks geschichtenkiste|2026-07-08|,rodericks geschichtenkiste|2026-07-08|9658:1901,"same library branch, spelling variant"
s,0.89,merge,Führung durch die GRAND GARAGE,Führung durch die Grand Garage,2026-07-03T16:00:00+02:00,2026-07-03T16:00:00+02:00,GRAND GARAGE,GRAND GARAGE,linztermine.at (open data XML),Tabakfabrik Linz,fuehrung durch grand garage|2026-07-03|,fuehrung durch grand garage|2026-07-03|9664:1902,
s,0.89,merge,Führung durch die GRAND GARAGE,Führung durch die Grand Garage,2026-07-10T16:00:00+02:00,2026-07-10T16:00:00+02:00,GRAND GARAGE,GRAND GARAGE,linztermine.at (open data XML),Tabakfabrik Linz,fuehrung durch grand garage|2026-07-10|,fuehrung durch grand garage|2026-07-10|9664:1902,
s,0.876,merge,Schneeberger & Bakanic Quartett — Avanti Avanti (Serenaden),Serenaden: Schneeberger & Bakanic Quartett – Avanti Avanti,2026-07-07T20:00:00+02:00,2026-07-07T20:00:00+02:00,Arkadenhof Landhaus Linz,Landhaus,Brucknerhaus,linztermine.at (open data XML),schneeberger bakanic quartett avanti avanti serenaden|2026-07-07|9662:1901,serenaden schneeberger bakanic quartett avanti avanti|2026-07-07|,"Arkadenhof Landhaus = Landhaus, same time"
s,0.765,adjudicate:same,OK Platz Sommerfest,OK Platz Sommerfest,2026-07-03T14:00:00+02:00,2026-07-03T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,ok platz sommerfest|2026-07-03|,ok platz sommerfest|2026-07-03|9661:1900,b starts 00:00 = date-only placeholder from OOe Kulturquartier; same title+venue
s,0.765,adjudicate:same,Familiensonntag: Archäologie,Familiensonntag Archäologie,2026-07-05T10:00:00+02:00,2026-07-05T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,familiensonntag archaeologie|2026-07-05|,familiensonntag archaeologie|2026-07-05|9661:1900,b starts 00:00 = date-only placeholder; same title+venue
s,0.765,adjudicate:uncached,Open Sunday - voestalpine Open Space,OPEN SUNDAY voestalpine OPEN SPACE,2026-07-05T11:00:00+02:00,2026-07-05T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,open sunday voestalpine open space|2026-07-05|,open sunday voestalpine open space|2026-07-05|9661:1900,b starts 00:00 = date-only placeholder; same title+venue
s,0.765,adjudicate:same,Grafische Schätze aus der Sammlung Kastner,Grafische Schätze aus der Sammlung Kastner,2026-07-10T10:00:00+02:00,2026-07-10T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,grafische schaetze aus sammlung kastner|2026-07-10|,grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,b starts 00:00 = date-only placeholder; same exhibition
s,0.74,adjudicate:uncached,Flohmarkt der Stadtbibliothek Urfahr,Flohmarkt der Stadtbibliothek Urfahr,2026-07-06T12:00:00+02:00,2026-07-06T10:00:00+02:00,Stadtbibliothek Urfahr,Stadtbibliothek Urfahr,linztermine.at (open data XML),Stadtbibliothek Linz,flohmarkt stadtbibliothek urfahr|2026-07-06|,flohmarkt stadtbibliothek urfahr|2026-07-06|9658:1901,"DB: week-long book flea market; times are opening hours (linztermine Mon 12-18 vs library 10:00), one continuous happening, not separate showings"
s,0.697,adjudicate:same,Lisa Eckhart »Ich war mal wer«,Lisa Eckhart,2026-07-03T20:00:00+02:00,2026-07-03T20:00:00+02:00,"Großer Saal, Brucknerhaus Linz",Brucknerhaus Linz,Brucknerhaus,linztermine.at (open data XML),lisa eckhart ich war mal wer|2026-07-03|9662:1901,lisa eckhart|2026-07-03|,"same show, subtitle dropped in b"
s,0.675,adjudicate:same,BAUERN | SCHACH | NOVELLEN (Theater),BAUERN | SCHACH | NOVELLEN,2026-07-04T00:00:00+02:00,2026-07-04T17:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,bauern schach novellen|2026-07-04|,a starts 00:00 = date-only placeholder; same theater production
s,0.673,adjudicate:same,RE:CONNECT / MOTUS NATURALIS - Abschlussperformances von Tanzclub & Spätbewegte,Re:Connect / Motus Naturalis,2026-07-10T18:00:00+02:00,2026-07-10T18:00:00+02:00,BlackBox Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),re connect motus naturalis abschlussperformances tanzclub spaetbewegte|2026-07-10|9660:1900,re connect motus naturalis|2026-07-10|,"hall vs building naming, same time (product call)"
s,0.673,adjudicate:same,RE:CONNECT / MOTUS NATURALIS - Abschlussperformances von Tanzclub & Spätbewegte,Re:Connect / Motus Naturalis,2026-07-09T18:00:00+02:00,2026-07-09T18:00:00+02:00,BlackBox Musiktheater,Musiktheater,Landestheater Linz,linztermine.at (open data XML),re connect motus naturalis abschlussperformances tanzclub spaetbewegte|2026-07-09|9660:1900,re connect motus naturalis|2026-07-09|,"hall vs building naming, same time (product call)"
